"group_label","n_total","mean_age","mean_male","mean_diploma","mean_part_time","mean_formation","mean_experience_months","mean_monthly_wage"
"eeax0",31200,35.0902884615385,0.496185897435897,0.433205128205128,0.256593106549741,4.57598474811775,44.8165064102564,NA
"eeax1",3341,36.0377132595031,0.553726429212811,0.136486082011374,0.0526788386710566,2.37255492025278,36.7297216402275,NA
"frenchx0",4961050,32.0290934378811,0.497582366636095,0.649932171616896,0.225070652383412,6.10636614270296,48.0114100845587,NA
"frenchx1",58213,32.6382423170082,0.611014721797537,0.602185078934259,0.178403917189245,5.43879278744611,46.2333499390171,NA
"non-eeax0",58140,37.3052287581699,0.557980736154111,0.397316821465428,0.29576858137211,4.43284436121515,56.3959924320605,NA
"non-eeax1",1248,41.7211538461538,0.418269230769231,0.270833333333333,0.133012820512821,3.44453376205788,42.8357371794872,NA
"eeax0",125237,NA,NA,NA,NA,NA,NA,1467.94522471306
"eeax1",19573,NA,NA,NA,NA,NA,NA,1426.41563334021
"frenchx0",19540132,NA,NA,NA,NA,NA,NA,1430.66036596833
"frenchx1",255956,NA,NA,NA,NA,NA,NA,1291.11666810708
"non-eeax0",226144,NA,NA,NA,NA,NA,NA,1391.08193370464
"non-eeax1",5894,NA,NA,NA,NA,NA,NA,1353.44882112259
