"variable","comparison","mean_a","mean_b","diff","n_a","n_b","t_stat"
"age","0vs1",32.224201570621,33.1058804338961,-0.881678863275063,5051887,61305,-17.5144560773748
"diploma","0vs1",0.645688630651102,0.570658568384902,0.0750300622662006,5050298,62894,37.7951798339384
"experience_months","0vs1",48.085696753423,45.8653665824314,2.22033017099165,5050273,62919,7.4471681175503
"formation","0vs1",6.07751457704033,5.22337445323635,0.854140123803985,4989010,61041,93.0509325809659
"male","0vs1",0.498246096079094,0.608077397571586,-0.109831301492492,5051588,61604,-55.4864927863072
"part_time","0vs1",0.222195344074766,0.168243307161101,0.0539520369136653,5043337,63426,36.0432819761559
"monthly_wage","0vs1",1430.4045296506,1299.64707753377,130.757452116839,6875807,96242,55.5860799829649
