"group_label","n_total","mean_age","mean_male","mean_diploma","mean_part_time","mean_formation","mean_experience_months","mean_monthly_wage"
"eeax0",29033,35.0378534770778,0.496641752488548,0.411566148865085,0.220002759953081,4.43891685471272,43.9314573072022,NA
"eeax1",5508,35.9909222948439,0.528685548293391,0.367283950617284,0.303864382063434,3.95864592863678,44.5764342774147,NA
"frenchx0",4409213,32.0088428479187,0.493198219274052,0.656334588508199,0.214639204240309,6.20476950639686,48.2793287600304,NA
"frenchx1",610050,32.428396033112,0.540093434964347,0.599101712974346,0.280318326616646,5.33267513864365,45.9053257929678,NA
"non-eeax0",44706,37.1032523598622,0.534402541045945,0.416051536706482,0.285435892841143,4.6243064014075,54.6097615532591,NA
"non-eeax1",14682,38.2693774690097,0.617899468737229,0.329519139081869,0.307398046314639,3.76642435879852,60.6823321073423,NA
"eeax0",118605,NA,NA,NA,NA,NA,NA,1435.06378701175
"eeax1",26205,NA,NA,NA,NA,NA,NA,1571.50723013205
"frenchx0",17071372,NA,NA,NA,NA,NA,NA,1423.39867916292
"frenchx1",2724716,NA,NA,NA,NA,NA,NA,1456.511296152
"non-eeax0",167625,NA,NA,NA,NA,NA,NA,1325.75372707205
"non-eeax1",64413,NA,NA,NA,NA,NA,NA,1537.47405206847
