"variable","comparison","mean_a","mean_b","diff","n_a","n_b","t_stat"
"age","0vs1",32.1480360799218,32.6278190952221,-0.479783015300221,4483380,629812,-30.0749486187471
"diploma","0vs1",0.652350705942318,0.590807027232032,0.0615436787102862,4483015,630177,93.3962679117127
"experience_months","0vs1",48.2973025276276,46.3516982285932,1.94560429903446,4485273,627919,19.0401709441784
"formation","0vs1",6.17629529604443,5.2940116797625,0.882283616281929,4425552,624499,329.480360324942
"male","0vs1",0.493729526696797,0.541340663650989,-0.0476111369541921,4486025,627167,-70.8476013730189
"part_time","0vs1",0.209031123900916,0.272636480431573,-0.0636053565306564,4481347,625804,-106.937263574036
"monthly_wage","0vs1",1422.44204327784,1459.44339596764,-37.0013526897933,5811808,1160241,-27.4741089080031
