"variable","comparison","mean_a","mean_b","diff","n_a","n_b","t_stat"
"age","0vs1",32.0431618696831,34.0563694907368,-2.01320762105371,4734920,378272,-103.887073434293
"diploma","0vs1",0.643654415301068,0.658739639912288,-0.0150852246112197,4736506,376686,-18.7801815659521
"experience_months","0vs1",47.3444544552936,57.0216266943075,-9.67717223901399,4735973,377219,-68.5050691919469
"formation","0vs1",6.08721790460649,5.81612867776149,0.271089226845006,4676964,373087,76.3310886199709
"male","0vs1",0.493517655647835,0.575675589564405,-0.0821579339165693,4736558,376634,-98.1034498938821
"part_time","0vs1",0.224383759325505,0.160643157220638,0.0637406021048664,4730173,376331,101.407423173983
"monthly_wage","0vs1",1412.03595241613,1625.22124873818,-213.185296322044,6430350,541699,-85.8151967484331
