"group_label","n_total","mean_age","mean_male","mean_diploma","mean_part_time","mean_formation","mean_experience_months","mean_monthly_wage"
"eea",34541,35.1894560088011,0.50175154164616,0.404504791407313,0.234389507892293,4.36232856725999,44.0343070553835,NA
"french",5019263,32.0236478941231,0.498897945774111,0.64937840475783,0.223451785602417,6.09865065923724,47.9907882890377,NA
"non-eea",59388,37.3793864080286,0.555044790193305,0.394658853640466,0.294423265072029,4.41197637314142,56.1110325318246,NA
"eea",144810,NA,NA,NA,NA,NA,NA,1463.63326034163
"french",19796088,NA,NA,NA,NA,NA,NA,1428.83902685555
"non-eea",232038,NA,NA,NA,NA,NA,NA,1390.3042358582
